Instrument Id,Ticker,BloombergTicker,Instrument Subtype,Maturity Date,Option Type,Option Strike,Description,Long/Short Position,Quantity,BCP I Pos Size,BCP II Pos Size,Pos Size Diff,Highmark Pos Size,Fort George Pos Size,Last Trade Date,AlgorithmicsExchangeCountry
72582688,MSCC,,Equity Option,2/16/2018,Put,55,MSCC Feb8 55.0 P,Short,,,,,,,,US
72583141,MTCH,,Equity Option,2/16/2018,Put,30,MTCH Feb8 30.0 P,Short,,,,,,,,US
72588529,NXPI,,Equity Option,2/16/2018,Call,125,NXPI Feb8 125.0C,Short,,,,,,,,US
72592096,PBI,,Equity Option,2/16/2018,Put,11,PBI Feb8 11.0 P,Short,,,,,,,,US
72598107,TCO,,Equity Option,2/16/2018,Put,55,TCO Feb8 55.0 P,Short,,,,,,,,US
72598108,TCO,,Equity Option,2/16/2018,Put,60,TCO Feb8 60.0 P,Short,,,,,,,,US
72599738,TIVO,,Equity Option,2/16/2018,Call,15,TIVO Feb8 15.0 C,Short,,,,,,,,US
72599739,TIVO,,Equity Option,2/16/2018,Call,16,TIVO Feb8 16.0 C,Long,,,,,,,,US
72599754,TIVO,,Equity Option,2/16/2018,Put,14,TIVO Feb8 14.0 P,Short,,,,,,,,US
72599755,TIVO,,Equity Option,2/16/2018,Put,15,TIVO Feb8 15.0 P,Short,,,,,,,,US
72607503,CARS,,Equity Option,2/16/2018,Put,25,CARS Feb8 25.0 P,Short,,,,,,,,US
72623619,SPB,,Equity Option,2/16/2018,Put,110,SPB Feb8 110.0 P,Short,,,,,,,,US
72627626,VAC,,Equity Option,2/16/2018,Put,130,VAC Feb8 130.0 P,Short,,,,,,,,US
